"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jun-2015","     8442.80","     8445.35","     8226.05","     8236.45","      151337661","         8083.17"
"03-Jun-2015","     8232.45","     8236.70","     8094.15","     8135.10","      176661646","         7920.26"
"04-Jun-2015","     8155.15","     8160.05","     8056.75","     8130.65","      159470840","         7560.49"
"05-Jun-2015","     8119.15","     8191.00","     8100.15","     8114.70","      167055308","         7588.40"
"08-Jun-2015","     8124.35","     8131.00","     8030.55","     8044.15","      140075743","         6230.61"
"09-Jun-2015","     8026.50","     8057.15","     8005.15","     8022.40","      140217686","         6442.05"
"10-Jun-2015","     8024.15","     8152.25","     8023.80","     8124.45","      141030200","         6790.27"
"11-Jun-2015","     8157.30","     8163.05","     7958.25","     7965.35","      171348959","         7868.44"
"12-Jun-2015","     7959.85","     7995.60","     7940.30","     7982.90","      140839875","         6737.25"
"15-Jun-2015","     7986.60","     8057.70","     7944.85","     8013.90","      137116389","         6129.12"
"16-Jun-2015","     8004.20","     8061.85","     7952.35","     8047.30","      127809460","         5923.80"
"17-Jun-2015","     8084.20","     8136.85","     8048.95","     8091.55","      157205716","         7878.66"
"18-Jun-2015","     8113.70","     8186.90","     8101.80","     8174.60","      149266110","         7767.77"
"19-Jun-2015","     8201.15","     8250.80","     8195.65","     8224.95","      151575997","         7722.05"
"22-Jun-2015","     8259.30","     8369.45","     8257.40","     8353.10","      126542473","         6163.02"
"23-Jun-2015","     8377.45","     8398.45","     8334.95","     8381.55","      135844708","         6437.33"
"24-Jun-2015","     8399.40","     8421.35","     8338.90","     8360.85","      134062733","         7175.22"
"25-Jun-2015","     8336.25","     8423.15","     8329.50","     8398.00","      207421340","         9911.16"
"26-Jun-2015","     8393.95","     8408.55","     8339.70","     8381.10","      113959476","         5848.78"
"29-Jun-2015","     8247.05","     8329.45","     8195.65","     8318.40","      136106699","         6604.12"
"30-Jun-2015","     8316.35","     8378.00","     8298.95","     8368.50","      163366250","         8425.52"
"01-Jul-2015","     8376.25","     8481.60","     8370.15","     8453.05","      135887471","         6938.05"
"02-Jul-2015","     8471.95","     8479.25","     8433.20","     8444.90","      115472141","         6065.26"
"03-Jul-2015","     8440.10","     8497.75","     8424.15","     8484.90","       91142979","         4983.21"
"06-Jul-2015","     8386.15","     8533.15","     8386.15","     8522.15","      104578132","         5517.86"
"07-Jul-2015","     8525.50","     8561.35","     8483.85","     8510.80","      126038231","         6054.41"
"08-Jul-2015","     8439.20","     8457.50","     8341.40","     8363.05","      193886999","         8876.81"
"09-Jul-2015","     8364.85","     8400.30","     8323.00","     8328.55","      135358659","         6610.40"
"10-Jul-2015","     8365.70","     8377.10","     8315.40","     8360.55","      158883926","         8128.47"
"13-Jul-2015","     8397.25","     8471.65","     8355.40","     8459.65","      121380175","         6506.28"
"14-Jul-2015","     8470.60","     8480.25","     8424.10","     8454.10","      104893796","         5454.41"
"15-Jul-2015","     8463.40","     8531.40","     8462.95","     8523.80","      108835522","         5805.53"
"16-Jul-2015","     8546.15","     8616.10","     8542.90","     8608.05","      119637042","         6544.15"
"17-Jul-2015","     8623.65","     8642.95","     8593.15","     8609.85","      108190401","         5713.13"
"20-Jul-2015","     8623.90","     8624.10","     8559.00","     8603.45","       93439295","         5107.62"
"21-Jul-2015","     8601.50","     8646.75","     8517.90","     8529.45","      169151098","        10699.52"
"22-Jul-2015","     8512.25","     8643.90","     8498.65","     8633.50","      141018383","         7427.34"
"23-Jul-2015","     8643.95","     8654.75","     8573.80","     8589.80","      136962516","         7747.81"
"24-Jul-2015","     8588.15","     8589.15","     8513.50","     8521.55","      131344832","         6942.22"
"27-Jul-2015","     8492.10","     8492.20","     8351.55","     8361.00","      140828066","         7353.09"
"28-Jul-2015","     8371.10","     8397.40","     8321.75","     8337.00","      179983810","         8403.15"
"29-Jul-2015","     8365.60","     8381.50","     8338.45","     8375.05","      145399010","         7232.34"
"30-Jul-2015","     8417.00","     8458.90","     8408.30","     8421.80","      221939186","        10007.30"
"31-Jul-2015","     8456.10","     8548.95","     8448.00","     8532.85","      209629301","         9522.19"
"03-Aug-2015","     8510.65","     8563.95","     8508.10","     8543.05","      161485758","         7738.10"
"04-Aug-2015","     8564.10","     8565.15","     8448.25","     8516.90","      193226091","         9003.82"
"05-Aug-2015","     8547.45","     8591.85","     8545.85","     8567.95","      136948290","         6434.82"
"06-Aug-2015","     8585.80","     8606.30","     8551.50","     8588.65","      139116393","         6595.25"
"07-Aug-2015","     8580.80","     8595.95","     8552.70","     8564.60","      148073594","         6528.28"
"10-Aug-2015","     8577.00","     8621.55","     8497.80","     8525.60","      127194886","         5780.49"
"11-Aug-2015","     8548.45","     8556.25","     8441.30","     8462.35","      159192694","         7049.29"
"12-Aug-2015","     8445.70","     8446.95","     8337.95","     8349.45","      195904304","         8630.35"
"13-Aug-2015","     8384.45","     8429.50","     8339.75","     8355.85","      195079107","         7840.58"
"14-Aug-2015","     8402.35","     8530.10","     8381.20","     8518.55","      160680260","         7090.58"
"17-Aug-2015","     8530.50","     8530.60","     8428.05","     8477.30","      180083830","         6543.01"
"18-Aug-2015","     8505.85","     8525.75","     8433.60","     8466.55","      157991554","         6501.24"
"19-Aug-2015","     8468.05","     8520.45","     8425.95","     8495.15","      134512114","         6338.67"
"20-Aug-2015","     8471.05","     8501.35","     8359.75","     8372.75","      189841783","         9193.19"
"21-Aug-2015","     8305.40","     8322.20","     8225.05","     8299.95","      207542070","         9606.33"
"24-Aug-2015","     8055.95","     8060.05","     7769.40","     7809.00","      322096413","        13856.66"
"25-Aug-2015","     7895.40","     7925.40","     7667.25","     7880.70","      308255265","        13420.76"
"26-Aug-2015","     7865.25","     7930.05","     7777.10","     7791.85","      223261362","        10207.56"
"27-Aug-2015","     7921.60","     7963.60","     7862.30","     7948.95","      314422773","        14282.73"
"28-Aug-2015","     8053.70","     8091.80","     7961.65","     8001.95","      201572450","         8641.87"
"31-Aug-2015","     8009.25","     8043.60","     7947.95","     7971.30","      204254629","         9547.70"
"01-Sep-2015","     7907.95","     7929.10","     7746.50","     7785.85","      190581167","         8633.26"
"02-Sep-2015","     7856.65","     7862.55","     7699.25","     7717.00","      222003483","         9794.29"
"03-Sep-2015","     7774.45","     7845.60","     7754.05","     7823.00","      160609681","         7060.37"
"04-Sep-2015","     7803.40","     7804.90","     7626.85","     7655.05","      199569987","         8200.69"
"07-Sep-2015","     7685.85","     7705.05","     7545.90","     7558.80","      145763902","         5768.15"
"08-Sep-2015","     7587.70","     7720.90","     7539.50","     7688.25","      177514609","         7380.17"
"09-Sep-2015","     7805.85","     7846.05","     7764.55","     7818.60","      214842731","         8550.10"
"10-Sep-2015","     7729.05","     7819.85","     7678.50","     7788.10","      165313439","         6992.42"
"11-Sep-2015","     7833.80","     7864.85","     7759.90","     7789.30","      140576943","         6014.16"
"14-Sep-2015","     7811.10","     7879.95","     7761.85","     7872.25","      126630775","         5277.75"
"15-Sep-2015","     7867.35","     7880.00","     7799.75","     7829.10","      140722007","         6252.35"
"16-Sep-2015","     7886.85","     7913.90","     7853.30","     7899.15","      144331414","         6650.61"
"18-Sep-2015","     7967.45","     8055.00","     7955.85","     7981.90","      249313429","        11328.64"
"21-Sep-2015","     7911.50","     7987.90","     7908.35","     7977.10","      125628591","         5482.45"
"22-Sep-2015","     8014.80","     8021.60","     7787.75","     7812.00","      173569429","         7887.06"
"23-Sep-2015","     7737.35","     7882.90","     7723.25","     7845.95","      151196367","         6869.26"
"24-Sep-2015","     7838.40","     7894.50","     7804.10","     7868.50","      208766516","         9732.18"
"28-Sep-2015","     7892.80","     7893.95","     7787.95","     7795.70","      140480206","         7120.05"
"29-Sep-2015","     7725.70","     7926.55","     7691.20","     7843.30","      248106979","        11184.67"
"30-Sep-2015","     7924.25","     7957.70","     7874.50","     7948.90","      217187896","         9981.56"
"01-Oct-2015","     7992.05","     8008.25","     7930.65","     7950.90","      161809883","         8896.78"
"05-Oct-2015","     8005.10","     8128.90","     8005.10","     8119.30","      188830270","         9589.63"
"06-Oct-2015","     8180.45","     8180.95","     8096.50","     8152.90","      184037905","         8461.64"
"07-Oct-2015","     8146.20","     8188.90","     8132.90","     8177.40","      199911165","         7894.19"
"08-Oct-2015","     8196.75","     8196.75","     8105.85","     8129.35","      177030502","         7837.16"
"09-Oct-2015","     8186.35","     8232.20","     8139.65","     8189.70","      205859184","         7960.62"
"12-Oct-2015","     8231.50","     8244.50","     8128.20","     8143.60","      205255913","         7604.30"
"13-Oct-2015","     8121.95","     8150.25","     8088.60","     8131.70","      150431773","         6877.36"
"14-Oct-2015","     8102.40","     8139.30","     8096.35","     8107.90","      143158108","         6607.21"
"15-Oct-2015","     8134.35","     8190.55","     8129.80","     8179.50","      172429864","         7625.17"
"16-Oct-2015","     8193.65","     8246.40","     8147.65","     8238.15","      161153559","         6956.78"
"19-Oct-2015","     8262.55","     8283.05","     8239.20","     8275.05","      128300205","         6880.43"
"20-Oct-2015","     8280.30","     8294.05","     8229.20","     8261.65","      159947752","         7661.53"
"21-Oct-2015","     8258.35","     8294.40","     8217.15","     8251.70","      149270047","         6689.35"
"23-Oct-2015","     8308.25","     8328.10","     8280.75","     8295.45","      156664310","         7466.28"
"26-Oct-2015","     8333.65","     8336.30","     8252.05","     8260.55","      138006303","         6799.49"
"27-Oct-2015","     8230.35","     8241.95","     8217.05","     8232.90","      161493491","         8271.49"
"28-Oct-2015","     8188.90","     8209.10","     8131.80","     8171.20","      194708669","         9131.44"
"29-Oct-2015","     8175.45","     8179.60","     8098.00","     8111.75","      224234135","        10569.95"
"30-Oct-2015","     8123.55","     8146.10","     8044.40","     8065.80","      205663493","         9218.39"
"02-Nov-2015","     8054.55","     8060.70","     7995.60","     8050.80","      140323983","         6552.67"
"03-Nov-2015","     8086.35","     8100.35","     8031.75","     8060.70","      136625382","         5955.64"
"04-Nov-2015","     8104.90","     8116.10","     8027.30","     8040.20","      125935846","         5696.01"
"05-Nov-2015","     8030.35","     8031.20","     7944.10","     7955.45","      136223827","         6001.38"
"06-Nov-2015","     7956.55","     8002.65","     7926.15","     7954.30","      226329409","         8771.77"
"09-Nov-2015","     7788.25","     7937.75","     7771.70","     7915.20","      218422388","         9376.17"
"10-Nov-2015","     7877.60","     7885.10","     7772.85","     7783.35","      170267413","         7153.47"
"11-Nov-2015","     7838.80","     7847.95","     7819.10","     7825.00","       22380435","         1123.44"
"13-Nov-2015","     7762.45","     7775.10","     7730.90","     7762.25","      165876819","         7731.55"
"16-Nov-2015","     7732.95","     7838.85","     7714.15","     7806.60","      154134885","         6871.15"
"17-Nov-2015","     7848.75","     7860.45","     7793.00","     7837.55","      149451211","         6367.14"
"18-Nov-2015","     7823.15","     7843.40","     7725.05","     7731.80","      148037721","         6112.32"
"19-Nov-2015","     7788.50","     7854.90","     7765.45","     7842.75","      136702518","         7410.15"
"20-Nov-2015","     7841.90","     7906.95","     7817.80","     7856.55","      156610433","         7298.01"
"23-Nov-2015","     7869.50","     7877.50","     7825.20","     7849.25","      130871603","         6099.09"
"24-Nov-2015","     7837.00","     7870.35","     7812.65","     7831.60","      134562905","         6686.27"
"26-Nov-2015","     7837.15","     7897.10","     7832.00","     7883.80","      226632193","        11054.04"
"27-Nov-2015","     7910.60","     7959.30","     7879.45","     7942.70","      154863047","         7068.72"
"30-Nov-2015","     7936.25","     7966.00","     7922.80","     7935.25","      223041699","        15368.67"
"01-Dec-2015","     7958.15","     7972.15","     7934.15","     7954.90","      142945421","         6796.67"
"02-Dec-2015","     7976.70","     7979.30","     7910.80","     7931.35","      130207404","         6242.53"
"03-Dec-2015","     7902.30","     7912.30","     7853.30","     7864.15","      129628400","         5636.41"
"04-Dec-2015","     7817.60","     7821.40","     7775.70","     7781.90","      157231681","         7758.36"
"07-Dec-2015","     7816.55","     7825.40","     7746.05","     7765.40","      141893279","         6403.97"
"08-Dec-2015","     7738.50","     7771.25","     7685.45","     7701.70","      139318392","         5986.06"
"09-Dec-2015","     7695.50","     7702.85","     7606.90","     7612.50","      144315690","         6599.60"
"10-Dec-2015","     7643.30","     7691.95","     7610.00","     7683.30","      145249292","         6492.02"
"11-Dec-2015","     7699.60","     7703.05","     7575.30","     7610.45","      172996480","         6894.44"
"14-Dec-2015","     7558.20","     7663.95","     7551.05","     7650.05","      153492615","         6290.42"
"15-Dec-2015","     7659.15","     7705.00","     7625.10","     7700.90","      138479057","         6152.14"
"16-Dec-2015","     7725.25","     7776.60","     7715.75","     7750.90","      159149338","         6703.76"
"17-Dec-2015","     7783.05","     7852.90","     7737.55","     7844.35","      181256780","         7367.15"
"18-Dec-2015","     7828.90","     7836.15","     7753.35","     7761.95","      197319843","         8074.50"
"21-Dec-2015","     7745.65","     7840.75","     7733.45","     7834.45","      130174102","         5558.38"
"22-Dec-2015","     7829.40","     7846.30","     7776.85","     7786.10","      129633328","         5028.11"
"23-Dec-2015","     7830.45","     7871.45","     7826.10","     7865.95","      121480721","         4663.45"
"24-Dec-2015","     7888.75","     7888.75","     7835.50","     7861.05","       96374245","         3383.99"
"28-Dec-2015","     7863.20","     7937.20","     7863.00","     7925.15","      126737811","         5755.48"
"29-Dec-2015","     7929.20","     7942.15","     7902.75","     7928.95","      116535971","         4950.36"
"30-Dec-2015","     7938.60","     7944.75","     7889.85","     7896.25","      110145855","         4392.87"
"31-Dec-2015","     7897.80","     7955.55","     7891.15","     7946.35","      155645098","         6780.85"
"01-Jan-2016","     7938.45","     7972.55","     7909.80","     7963.20","       64843836","         2613.91"
"04-Jan-2016","     7924.55","     7937.55","     7781.10","     7791.30","      138864905","         5897.08"
"05-Jan-2016","     7828.40","     7831.20","     7763.25","     7784.65","      149672973","         5948.51"
"06-Jan-2016","     7788.05","     7800.95","     7721.20","     7741.00","      151715828","         6722.17"
"07-Jan-2016","     7673.35","     7674.95","     7556.60","     7568.30","      194732861","         7803.21"
"08-Jan-2016","     7611.65","     7634.10","     7581.05","     7601.35","      162348690","         6753.57"
"11-Jan-2016","     7527.45","     7605.10","     7494.35","     7563.85","      194836791","         7327.15"
"12-Jan-2016","     7587.20","     7588.30","     7487.80","     7510.30","      168975973","         7071.48"
"13-Jan-2016","     7557.90","     7590.95","     7425.80","     7562.40","      221908258","         9585.17"
"14-Jan-2016","     7467.40","     7604.80","     7443.80","     7536.80","      206988549","         9246.75"
"15-Jan-2016","     7561.65","     7566.50","     7427.30","     7437.80","      203643071","         8279.07"
"18-Jan-2016","     7420.35","     7463.65","     7336.40","     7351.00","      240798183","         8431.56"
"19-Jan-2016","     7381.80","     7462.75","     7364.15","     7435.10","      194068339","         7038.84"
"20-Jan-2016","     7357.00","     7470.90","     7241.50","     7309.30","      232614141","         8794.16"
"21-Jan-2016","     7376.65","     7398.70","     7250.00","     7276.80","      248113284","         9401.16"
"22-Jan-2016","     7355.70","     7433.40","     7327.60","     7422.45","      236282061","         7666.39"
"25-Jan-2016","     7468.75","     7487.15","     7421.20","     7436.15","      168202502","         5910.99"
"27-Jan-2016","     7469.60","     7477.90","     7419.70","     7437.75","      193389891","         6834.77"
"28-Jan-2016","     7426.50","     7468.85","     7409.60","     7424.65","      283036298","        10049.88"
"29-Jan-2016","     7413.35","     7575.65","     7402.80","     7563.55","      307934042","        11277.33"
"01-Feb-2016","     7589.50","     7600.45","     7541.25","     7555.95","      206645021","         8209.50"
"02-Feb-2016","     7566.65","     7576.30","     7428.05","     7455.55","      237338907","         8030.99"
"03-Feb-2016","     7392.45","     7419.40","     7350.30","     7361.80","      197863301","         6748.17"
"04-Feb-2016","     7411.45","     7457.05","     7365.95","     7404.00","      229563364","         7465.35"
"05-Feb-2016","     7418.25","     7503.15","     7406.65","     7489.10","      257518899","         8628.24"
"08-Feb-2016","     7489.70","     7512.55","     7363.20","     7387.25","      176758985","         5746.45"
"09-Feb-2016","     7303.95","     7323.45","     7275.15","     7298.20","      218730280","         7415.13"
"10-Feb-2016","     7264.30","     7271.85","     7177.75","     7215.70","      254481339","         8129.65"
"11-Feb-2016","     7203.60","     7208.65","     6959.95","     6976.35","      301302956","         9250.27"
"12-Feb-2016","     7023.65","     7034.80","     6869.00","     6980.95","      344210729","        11062.63"
"15-Feb-2016","     7057.35","     7182.80","     7056.80","     7162.95","      365217073","        10204.34"
"16-Feb-2016","     7201.25","     7204.65","     7037.70","     7048.25","      261607451","         7638.39"
"17-Feb-2016","     7058.85","     7123.70","     6960.65","     7108.45","      268017961","         7686.32"
"18-Feb-2016","     7177.40","     7215.10","     7127.85","     7191.75","      254331498","         8051.51"
"19-Feb-2016","     7170.55","     7226.85","     7145.95","     7210.75","      198206480","         6156.58"
"22-Feb-2016","     7208.85","     7252.40","     7200.70","     7234.55","      159162842","         5832.89"
"23-Feb-2016","     7240.30","     7241.70","     7090.70","     7109.55","      200396978","         6433.16"
"24-Feb-2016","     7075.00","     7090.80","     7009.75","     7018.70","      205898417","         6497.18"
"25-Feb-2016","     7029.85","     7034.20","     6961.40","     6970.60","      291932544","         9090.16"
"26-Feb-2016","     7039.30","     7052.90","     6985.10","     7029.75","      213142575","         6880.96"
"29-Feb-2016","     7050.45","     7094.60","     6825.80","     6987.05","      487969285","        15992.15"
"01-Mar-2016","     7038.25","     7235.50","     7035.10","     7222.30","      283561570","         9896.58"
"02-Mar-2016","     7321.70","     7380.35","     7308.15","     7368.85","      348965708","        10983.06"
"03-Mar-2016","     7429.55","     7483.95","     7406.05","     7475.60","      287248532","         9255.43"
"04-Mar-2016","     7505.40","     7505.90","     7444.10","     7485.35","      290441230","         8135.06"
"08-Mar-2016","     7486.40","     7527.15","     7442.15","     7485.30","      264945393","         8417.86"
"09-Mar-2016","     7436.10","     7539.00","     7424.30","     7531.80","      252709391","         9036.29"
"10-Mar-2016","     7545.35","     7547.10","     7447.40","     7486.15","      231584305","         8875.92"
"11-Mar-2016","     7484.85","     7543.95","     7460.60","     7510.20","      204806572","         7558.55"
"14-Mar-2016","     7542.60","     7583.70","     7515.05","     7538.75","      172067214","         6330.45"
"15-Mar-2016","     7535.85","     7545.20","     7452.80","     7460.60","      199653871","         7577.78"
"16-Mar-2016","     7457.05","     7508.00","     7405.15","     7498.75","      201430035","         7102.59"
"17-Mar-2016","     7557.40","     7585.30","     7479.40","     7512.55","      247043954","         9539.89"
"18-Mar-2016","     7534.65","     7613.60","     7517.90","     7604.35","      244727490","         9971.59"
"21-Mar-2016","     7619.20","     7713.55","     7617.70","     7704.25","      202853386","         8381.51"
"22-Mar-2016","     7695.55","     7728.20","     7643.80","     7714.90","      215355848","         8628.05"
"23-Mar-2016","     7717.45","     7726.85","     7670.60","     7716.50","      205794773","         7612.54"
"28-Mar-2016","     7741.00","     7749.40","     7587.70","     7615.10","      249905118","        10102.36"
"29-Mar-2016","     7606.55","     7652.90","     7582.25","     7597.00","      223493457","        10474.75"
"30-Mar-2016","     7651.10","     7741.95","     7643.45","     7735.20","      239843751","         9908.60"
